SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2022,3,Sat,Fall,15,SOUTH,37.44126984,53.48752834
2022,3,Sat,Fall,18,NORTH,29.31666667,41.88095238
2022,3,Sat,Fall,18,SOUTH,31.05512821,44.36446886
2022,3,Sat,Fall,21,NORTH,21.64722222,30.92460317
2022,3,Sat,Fall,21,SOUTH,22.46904762,32.09863946
2022,3,Sat,Fall,24,NORTH,NULL,NULL
2022,3,Sat,Fall,24,SOUTH,NULL,NULL
2022,3,Sat,Summer,4,NORTH,NULL,NULL
2022,3,Sat,Summer,4,SOUTH,NULL,NULL
2022,3,Sat,Summer,6,NORTH,28.1,40.14285714
2022,4,Sun/Hol,Summer,24,WEST,NULL,NULL
2022,4,Sun/Hol,Summer,21,WEST,16.97299383,36.11275282
2022,4,Sun/Hol,Summer,21,EAST,18.69135802,39.76884686
2022,4,Sun/Hol,Summer,18,WEST,32.02083333,68.12943262
2022,4,Sun/Hol,Summer,18,EAST,26.89197531,57.21696874
2022,4,Sun/Hol,Summer,15,WEST,35.73194444,76.02541371
2022,4,Sun/Hol,Summer,15,EAST,43.625,92.81914894
2022,4,Sun/Hol,Summer,9,WEST,23.93281025,50.92087286
2022,4,Sun/Hol,Summer,9,EAST,34.91344246,74.28392013
2022,4,Sun/Hol,Summer,6,WEST,12.87777778,27.39952719
2022,4,Sun/Hol,Summer,6,EAST,10.99537037,23.39440504
2022,4,Sun/Hol,Fall,24,WEST,NULL,NULL
2022,4,Sun/Hol,Fall,21,WEST,18.4510582,39.25757064
2022,4,Sun/Hol,Fall,21,EAST,14.07690476,29.9508612
2022,4,Sun/Hol,Fall,18,WEST,24.78784382,52.74009324
2022,4,Sun/Hol,Fall,18,EAST,24.74967776,52.65888884
2022,4,Sun/Hol,Fall,15,WEST,29.20121362,62.13024174
2022,4,Sun/Hol,Fall,15,EAST,39.27571402,83.56534899
2022,4,Sun/Hol,Fall,9,WEST,25.34564803,53.92691069
2022,4,Sun/Hol,Fall,9,EAST,33.2846872,70.81848341
2022,4,Sun/Hol,Fall,6,WEST,15.95922659,33.95580126
2022,4,Sun/Hol,Fall,6,EAST,10.98840385,23.37958267
2022,4,Sun/Hol,Fall,4,WEST,NULL,NULL
2022,4,Sun/Hol,Fall,4,EAST,NULL,NULL
2022,4,Sat,Summer,24,WEST,NULL,NULL
2022,4,Sat,Summer,21,WEST,23.65185185,50.32308905
2022,4,MF,Fall,4,EAST,3.53047419,7.511647212
2022,4,MF,Fall,4,WEST,14.02640693,29.84341899
2022,4,MF,Fall,6,EAST,24.29283116,51.6868748
2022,4,MF,Fall,6,WEST,31.41066633,66.83120495
2022,4,MF,Fall,9,EAST,24.85639465,52.88594606
2022,4,MF,Fall,9,WEST,29.20496631,62.13822619
2022,4,MF,Fall,15,EAST,37.32830353,79.42192241
2022,4,MF,Fall,15,WEST,33.29754856,70.84584801
2022,4,MF,Fall,18,EAST,31.28607466,66.56611629
2022,4,MF,Fall,18,WEST,23.99485916,51.05289183
2022,4,MF,Fall,21,EAST,17.87817904,38.03867882
2022,4,Sat,Summer,21,EAST,28.68703704,61.03624901
2022,4,Sat,Summer,18,WEST,29.83958333,63.48847518
2022,4,Sat,Summer,18,EAST,39.95458333,85.00975177
2022,4,Sat,Summer,15,WEST,34.10833333,72.57092199
2022,4,Sat,Summer,15,EAST,40.4875,86.14361702
2022,4,Sat,Summer,9,WEST,22.19861111,47.23108747
2022,4,Sat,Summer,9,EAST,36.68701389,78.05747636
2022,4,Sat,Summer,6,WEST,12.49416667,26.58333333
2022,4,Sat,Summer,6,EAST,9.846153846,20.9492635
2022,4,Sat,Summer,4,EAST,NULL,NULL
2022,4,Sat,Fall,24,WEST,NULL,NULL
2022,4,Sat,Fall,21,WEST,27.71234568,58.96243761
2022,4,Sat,Fall,21,EAST,24.31049383,51.72445495
2022,4,Sat,Fall,18,WEST,27.47625,58.46010638
2022,4,Sat,Fall,18,EAST,35.29444444,75.09456265
2022,4,Sat,Fall,15,WEST,38.03148148,80.91804571
2022,4,Sat,Fall,15,EAST,44.71203704,95.1319937
2022,4,Sat,Fall,9,WEST,27.70638228,58.94974952
2022,4,Sat,Fall,9,EAST,36.38802609,77.42133212
2022,4,Sat,Fall,6,WEST,14.08333333,29.96453901
2022,4,Sat,Fall,6,EAST,11.8965812,25.31187489
2022,4,Sat,Fall,4,EAST,NULL,NULL
2022,4,MF,Summer,24,WEST,NULL,NULL
2022,4,MF,Summer,21,WEST,26.71890432,56.8487326
2022,4,MF,Summer,21,EAST,21.00347222,44.68823877
2022,4,MF,Summer,18,WEST,27.58918375,58.70039096
2022,4,MF,Summer,18,EAST,30.25569444,64.37381797
2022,4,MF,Summer,15,WEST,35.71684524,75.99328774
2022,4,MF,Summer,15,EAST,33.4999537,71.27649724
2022,4,MF,Summer,9,WEST,26.18166956,55.70567992
2022,4,MF,Summer,9,EAST,26.28984921,55.93584938
2022,4,MF,Summer,6,WEST,21.29661797,45.31195312
2022,4,MF,Summer,6,EAST,19.86759673,42.2714824
2022,4,MF,Summer,4,WEST,12.48055556,26.55437352
2022,4,MF,Summer,4,EAST,3.281696429,6.982332827
2022,4,MF,Fall,24,WEST,12.9,27.44680851
2022,4,MF,Fall,21,WEST,21.00683333,44.69539005
2022,005/006,Sat,Fall,21,WEST,NULL,NULL
2022,005/006,Sat,Fall,24,EAST,NULL,NULL
2022,005/006,Sat,Fall,24,WEST,NULL,NULL
2022,005/006,Sat,Summer,4,EAST,NULL,NULL
2022,005/006,Sat,Summer,4,WEST,NULL,NULL
2022,005/006,Sat,Summer,6,EAST,NULL,NULL
2022,005/006,Sat,Summer,6,WEST,NULL,NULL
2022,005/006,Sat,Summer,9,EAST,NULL,NULL
2022,005/006,Sat,Summer,9,WEST,NULL,NULL
2022,005/006,Sat,Summer,15,EAST,NULL,NULL
2022,005/006,Sat,Summer,15,WEST,NULL,NULL
2022,005/006,Sat,Summer,18,EAST,NULL,NULL
2022,005/006,Sat,Summer,18,WEST,NULL,NULL
2022,005/006,Sat,Summer,21,EAST,NULL,NULL
2022,005/006,Sat,Summer,21,WEST,NULL,NULL
2022,005/006,Sat,Summer,24,EAST,NULL,NULL
2022,005/006,Sat,Summer,24,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,4,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,4,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,6,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,6,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,9,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,9,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,15,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,15,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,18,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,18,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,21,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,21,WEST,NULL,NULL
2022,005/006,Sun/Hol,Fall,24,EAST,NULL,NULL
2022,005/006,Sun/Hol,Fall,24,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,6,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,6,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,9,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,9,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,15,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,15,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,18,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,18,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,21,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,21,WEST,NULL,NULL
2022,005/006,Sun/Hol,Summer,24,EAST,NULL,NULL
2022,005/006,Sun/Hol,Summer,24,WEST,NULL,NULL
2022,005/006,MF,Fall,4,EAST,NULL,NULL
2022,005/006,MF,Fall,4,WEST,NULL,NULL
2022,005/006,MF,Fall,6,EAST,NULL,NULL
2022,005/006,MF,Fall,6,WEST,NULL,NULL
2022,005/006,MF,Fall,9,EAST,NULL,NULL
2022,005/006,MF,Fall,9,WEST,NULL,NULL
2022,005/006,MF,Fall,15,EAST,NULL,NULL
2022,005/006,MF,Fall,15,WEST,NULL,NULL
2022,005/006,MF,Fall,18,EAST,NULL,NULL
2022,005/006,MF,Fall,18,WEST,NULL,NULL
2022,005/006,MF,Fall,21,EAST,NULL,NULL
2022,005/006,MF,Fall,21,WEST,NULL,NULL
2022,005/006,MF,Fall,24,EAST,NULL,NULL
2022,005/006,MF,Fall,24,WEST,NULL,NULL
2022,005/006,MF,Summer,4,EAST,NULL,NULL
2022,005/006,MF,Summer,4,WEST,NULL,NULL
2022,005/006,MF,Summer,6,EAST,NULL,NULL
2022,005/006,MF,Summer,6,WEST,NULL,NULL
2022,005/006,MF,Summer,9,EAST,NULL,NULL
2022,005/006,MF,Summer,9,WEST,NULL,NULL
2022,005/006,MF,Summer,15,EAST,NULL,NULL
2022,005/006,MF,Summer,15,WEST,NULL,NULL
2022,005/006,MF,Summer,18,EAST,NULL,NULL
2022,005/006,MF,Summer,18,WEST,NULL,NULL
2022,005/006,MF,Summer,21,EAST,NULL,NULL
2022,005/006,MF,Summer,21,WEST,NULL,NULL
2022,005/006,MF,Summer,24,EAST,NULL,NULL
2022,005/006,MF,Summer,24,WEST,NULL,NULL
2022,005/006,Sat,Fall,4,EAST,NULL,NULL
2022,005/006,Sat,Fall,4,WEST,NULL,NULL
2022,005/006,Sat,Fall,6,EAST,NULL,NULL
2022,005/006,Sat,Fall,6,WEST,NULL,NULL
2022,005/006,Sat,Fall,9,EAST,NULL,NULL
2022,005/006,Sat,Fall,9,WEST,NULL,NULL
2022,005/006,Sat,Fall,15,EAST,NULL,NULL
2022,005/006,Sat,Fall,15,WEST,NULL,NULL
2022,005/006,Sat,Fall,18,EAST,NULL,NULL
2022,005/006,Sat,Fall,18,WEST,NULL,NULL
2022,005/006,Sat,Fall,21,EAST,NULL,NULL
2022,7,Sat,Summer,4,EAST,NULL,NULL
2022,7,Sat,Summer,4,WEST,NULL,NULL
2022,7,Sat,Summer,6,EAST,15.78,33.57446809
2022,7,Sat,Summer,6,WEST,16.75833333,35.65602837
2022,7,Sat,Summer,9,EAST,29.54528571,62.86231003
2022,7,Sat,Summer,9,WEST,23.83028571,50.70273556
2022,7,Sat,Summer,15,EAST,29.88392857,63.58282675
2022,7,Sat,Summer,15,WEST,27.93861111,59.44385343
2022,7,Sat,Summer,18,EAST,28.655,60.96808511
2022,7,Sat,Summer,18,WEST,23.23518519,49.43656422
2022,7,Sat,Summer,21,EAST,29.3625,62.47340426
2022,7,Sat,Summer,21,WEST,26.55185185,56.49330181
2022,7,Sat,Summer,24,EAST,NULL,NULL
2022,7,Sat,Summer,24,WEST,NULL,NULL
2022,7,Sun/Hol,Fall,4,EAST,NULL,NULL
2022,7,Sun/Hol,Fall,4,WEST,NULL,NULL
2022,7,Sun/Hol,Fall,6,EAST,18.94129486,40.30062736
2022,7,Sun/Hol,Fall,6,WEST,20.43210281,43.47255917
2022,7,Sun/Hol,Fall,9,EAST,27.56897178,58.65738676
2022,7,Sun/Hol,Fall,9,WEST,25.25951089,53.7436402
2022,7,Sun/Hol,Fall,15,EAST,26.9417211,57.32281085
2022,7,Sun/Hol,Fall,15,WEST,31.21348882,66.41167833
2022,7,Sun/Hol,Fall,18,EAST,23.22515281,49.41521875
2022,7,Sun/Hol,Fall,18,WEST,21.32204027,45.36604313
2022,7,Sun/Hol,Fall,21,EAST,15.93489583,33.90403369
2022,7,Sun/Hol,Fall,21,WEST,16.73189153,35.59976922
2022,7,Sun/Hol,Fall,24,EAST,NULL,NULL
2022,7,Sun/Hol,Fall,24,WEST,9.044444444,19.24349882
2022,7,Sun/Hol,Summer,4,EAST,NULL,NULL
2022,7,Sun/Hol,Summer,6,EAST,15.93402778,33.90218676
2022,7,Sun/Hol,Summer,6,WEST,20.48611111,43.58747045
2022,7,Sun/Hol,Summer,9,EAST,25.7089372,54.69986638
2022,7,Sun/Hol,Summer,9,WEST,24.4057971,51.92722788
2022,7,Sun/Hol,Summer,15,EAST,24.53298611,52.19784279
2022,7,Sun/Hol,Summer,15,WEST,27.90625,59.375
2022,7,Sun/Hol,Summer,18,EAST,23.03858025,49.01825584
2022,7,Sun/Hol,Summer,18,WEST,24.21296296,51.51694247
2022,7,Sun/Hol,Summer,21,EAST,17.70052083,37.66068262
2022,7,Sun/Hol,Summer,21,WEST,20.48611111,43.58747045
2022,7,Sun/Hol,Summer,24,EAST,NULL,NULL
2022,7,Sun/Hol,Summer,24,WEST,NULL,NULL
2022,7,MF,Fall,6,WEST,28.17962878,59.95665698
2022,7,MF,Fall,6,EAST,32.40026579,68.93673572
2022,7,MF,Fall,4,WEST,7.735898744,16.45935903
2022,7,MF,Fall,4,EAST,18.30930043,38.95595836
2022,7,MF,Fall,9,EAST,24.37218172,51.85570578
2022,7,MF,Fall,9,WEST,23.82023493,50.68135091
2022,7,MF,Fall,15,EAST,30.84794187,65.63391888
2022,7,MF,Fall,15,WEST,34.39524827,73.18137929
2022,7,MF,Fall,18,EAST,25.0419201,53.28068106
2022,7,MF,Fall,18,WEST,26.59581302,56.58683622
2022,7,MF,Fall,21,EAST,19.45782738,41.39963273
2022,7,MF,Fall,21,WEST,17.47727469,37.15307654
2022,7,MF,Fall,24,EAST,8.998917749,19.14663351
2022,7,MF,Fall,24,WEST,7.574920635,16.11685241
2022,7,MF,Summer,4,EAST,18.86706349,40.14268828
2022,7,MF,Summer,4,WEST,8.266468254,17.58823033
2022,7,MF,Summer,6,EAST,32.51641511,69.18386193
2022,7,MF,Summer,6,WEST,24.5900197,52.31919086
2022,7,MF,Summer,9,EAST,26.73130556,56.8751182
2022,7,MF,Summer,9,WEST,23.63999278,50.29785699
2022,7,MF,Summer,15,EAST,31.14603365,66.26815671
2022,7,MF,Summer,15,WEST,32.09480133,68.28681134
2022,7,MF,Summer,18,EAST,25.94557981,55.20336129
2022,7,MF,Summer,18,WEST,29.3253514,62.39436468
2022,7,MF,Summer,21,EAST,19.63500744,41.77661158
2022,7,MF,Summer,21,WEST,23.41521254,49.78052169
2022,7,MF,Summer,24,EAST,12.96006944,27.57461584
2022,7,MF,Summer,24,WEST,11.025,23.45744681
2022,7,Sat,Fall,4,EAST,NULL,NULL
2022,7,Sat,Fall,4,WEST,NULL,NULL
2022,7,Sat,Fall,6,EAST,15.78055556,33.57565012
2022,7,Sat,Fall,6,WEST,18.425,39.20212766
2022,7,Sat,Fall,9,EAST,29.04102222,61.78940898
2022,7,Sat,Fall,9,WEST,24.36896703,51.84886603
2022,7,Sat,Fall,15,EAST,33.7618254,71.83367106
2022,7,Sat,Fall,15,WEST,32.11221164,68.32385455
2022,7,Sat,Fall,18,EAST,36.0367619,76.6739615
2022,7,Sat,Fall,18,WEST,29.30592593,62.35303388
2022,7,Sat,Fall,21,EAST,30.93180556,65.81235225
2022,7,Sat,Fall,21,WEST,28.70839506,61.08169162
2022,7,Sat,Fall,24,EAST,NULL,NULL
2022,7,Sat,Fall,24,WEST,19.79111111,42.10874704
2022,8,Sat,Summer,4,EAST,NULL,NULL
2022,8,Sat,Summer,4,WEST,NULL,NULL
2022,8,Sat,Summer,6,EAST,NULL,NULL
2022,8,Sat,Summer,6,WEST,NULL,NULL
2022,8,Sat,Summer,9,EAST,20.98281787,29.9754541
2022,8,Sat,Summer,9,WEST,28.07839506,40.11199295
2022,8,Sat,Summer,15,EAST,28.93111111,41.33015873
2022,8,Sat,Summer,15,WEST,28.22552448,40.32217782
2022,8,Sat,Summer,18,EAST,NULL,NULL
2022,8,Sat,Summer,18,WEST,NULL,NULL
2022,8,Sat,Summer,21,EAST,NULL,NULL
2022,8,Sat,Summer,21,WEST,NULL,NULL
2022,8,Sat,Summer,24,EAST,NULL,NULL
2022,8,Sat,Summer,24,WEST,NULL,NULL
2022,8,Sun/Hol,Fall,4,EAST,NULL,NULL
2022,8,Sun/Hol,Fall,4,WEST,NULL,NULL
2022,8,Sun/Hol,Fall,6,EAST,7.568508401,10.81215486
2022,8,Sun/Hol,Fall,6,WEST,22.03027482,31.47182118
2022,8,Sun/Hol,Fall,9,EAST,24.45315124,34.9330732
2022,8,Sun/Hol,Fall,9,WEST,29.72929067,42.47041525
2022,8,Sun/Hol,Fall,15,EAST,36.4301745,52.04310643
2022,8,Sun/Hol,Fall,15,WEST,25.08897367,35.84139095
2022,8,Sun/Hol,Fall,18,EAST,26.78896087,38.2699441
2022,8,Sun/Hol,Fall,18,WEST,12.92748744,18.46783919
2022,8,Sun/Hol,Fall,21,EAST,21.99571162,31.42244517
2022,8,Sun/Hol,Fall,21,WEST,8.376856901,11.96693843
2022,8,Sun/Hol,Fall,24,EAST,15.48811432,22.12587759
2022,8,Sun/Hol,Fall,24,WEST,2.371362927,3.387661324
2022,8,Sun/Hol,Summer,4,EAST,NULL,NULL
2022,8,Sun/Hol,Summer,4,WEST,NULL,NULL
2022,8,Sun/Hol,Summer,6,EAST,11.06666667,15.80952381
2022,8,Sun/Hol,Summer,6,WEST,21.21944444,30.31349206
2022,8,Sun/Hol,Summer,9,EAST,24.782,35.40285714
2022,8,Sun/Hol,Summer,9,WEST,34.18817791,48.84025416
