Year,line_no,Annual_Boardings,Avg Daily Brdgs MF,Avg Daily Brdgs Sat,Avg Daily Brdgs SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Total_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2019,337,1032586.303,3453.047449,1697.844092,1307.157296,2079708.3,20440,21431.56667,50.51792087,2.859960552,17.44226079,41.31921238,27.59541446,3.400198,694.98044,80.84254413,1.611636666,26.73839081
2019,340,1321795.968,4172.735239,2671.033791,2249.389659,2237160.6,19715.83333,20714.45,67.04235856,13.37406653,30.81253834,61.62507668,52.09778296,15.937892,3142.270085,89.50858034,0.629156359,37.44726277
2019,341,1078325.135,3309.733853,2327.722691,2084.461632,1644012,14209.5,15222.33333,75.88761994,5.033690052,31.09378881,62.18757762,33.28734292,5.716986,812.3429055,86.59870614,0.610864801,23.5936905
2019,342,1338456.526,4237.661542,2650.356128,2282.637436,2610077.4,22337.41667,24167.38333,59.91993373,19.06852961,37.47587666,74.95175331,34.97996558,20.185076,4508.807554,74.14357707,0.732056399,29.07303476
2019,345,915942.7737,3668.673388,NULL,NULL,1854259.2,16181.73333,17169.06667,56.60350191,24.80438185,39.82572184,79.65144367,44.61871809,25.893458,4190.000939,77.4296148,0.253656278,27.22252837
2019,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,351,2180381.306,6618.44919,4956.366035,4311.538363,7617117.6,63808.1,70528.86667,34.17091726,9.057639524,29.41458094,58.82916188,39.69061115,10.415132,6645.677423,78.70138002,1.588866997,46.39611969
2019,352,143682.1462,576.0246834,NULL,NULL,696924,3935.4,6453,36.51017588,2.430555556,34.77384542,69.47241305,53.21098178,2.583844,101.6828652,85.87527212,1.206832529,50.80449154
2019,354,222367.7311,891.1314503,NULL,NULL,858884.4,5330.033333,7952.633333,41.71976369,45.37037037,46.72891989,93.45783978,71.75514048,44.756416,2385.531039,83.24553702,1.671171292,41.7535623
2019,360,82407.63466,278.4057251,132.8030711,96.44835116,551306.55,7643.466667,7989.95,10.78144751,0.211774672,3.945564663,16.43985276,7.203015413,0.283271,21.6462976,76.00135777,0.066536901,29.57257036
2019,361,113818.9002,379.2020398,191.4474489,148.0709012,633786.85,8283.533333,9185.316667,13.74038054,0.060313631,5.365969733,22.35820722,9.365231219,0.062824,5.202058933,85.37711047,0.071826181,27.24039513
2019,362,74481.7536,179.0600864,267.2484792,251.1782159,347968.15,4856.516667,5043.016667,15.33645588,0,2.957622882,12.32342867,8.053200161,0,0,77.29518856,0.046150584,19.36650468
2019,363,238657.6563,694.8693086,621.9425141,525.7079954,1133149.05,15423.01667,16422.45,15.47412296,0.268361582,5.7017987,23.75749458,12.16690159,0.344424,53.1168694,81.35648755,0.07119958,24.17116311
2019,364,1424389.018,4350.75824,3182.54075,2765.60214,2413497.6,20769.06667,22347.2,68.58223534,8.574135481,34.63288831,69.26577662,41.30108056,9.413518,1955.096091,74.26008139,0.397284675,26.68393193
2019,370,129023.2792,434.0143896,201.1063352,162.5027329,504452.1,6885.9,7310.9,18.73731526,0.500876534,6.917650255,28.82354273,NULL,NULL,NULL,NULL,NULL,23.81361903
