Calendar_Year,Station_Name,Day_Type,Average_Daily_Station_Boardings
2019,Patterson Station,MF,4987
2019,Patterson Station,Sat,3561
2019,Patterson Station,Sun/Hol,2803
2019,Production Way-University Station,MF,6435
2019,Production Way-University Station,Sat,2665
2019,Production Way-University Station,Sun/Hol,1874
2019,Renfrew Station,MF,4356
2019,Renfrew Station,Sat,2555
2019,Renfrew Station,Sun/Hol,2099
2019,Richmond-Brighouse Station,MF,12506
2019,Richmond-Brighouse Station,Sat,9624
2019,Richmond-Brighouse Station,Sun/Hol,7661
2019,Royal Oak Station,MF,5970
2019,Royal Oak Station,Sat,4097
2019,Royal Oak Station,Sun/Hol,3160
2019,Rupert Station,MF,2921
2019,Rupert Station,Sat,2320
2019,Rupert Station,Sun/Hol,1978
2019,Sapperton Station,MF,3317
2019,Sapperton Station,Sat,1684
2019,Sapperton Station,Sun/Hol,1229
2019,Scott Road Station,MF,10369
2019,Scott Road Station,Sat,7174
2019,Scott Road Station,Sun/Hol,5388
2019,Sea Island Station,MF,1041
2019,Sea Island Station,Sat,614
2019,Sea Island Station,Sun/Hol,558
2019,Sperling-Burnaby Lake Station,MF,2119
2019,Sperling-Burnaby Lake Station,Sat,1361
2019,Sperling-Burnaby Lake Station,Sun/Hol,1054
2019,Stadium-Chinatown Station,MF,16970
2019,Stadium-Chinatown Station,Sat,14497
2019,Stadium-Chinatown Station,Sun/Hol,10032
2019,Surrey Central Station,MF,14069
2019,Surrey Central Station,Sat,10086
2019,Surrey Central Station,Sun/Hol,7731
2019,Templeton Station,MF,3555
2019,Templeton Station,Sat,3726
2019,Templeton Station,Sun/Hol,3697
2019,Vancouver City Centre Station,MF,19064
2019,Vancouver City Centre Station,Sat,14314
2019,Vancouver City Centre Station,Sun/Hol,11976
2019,VCC-Clark Station,MF,3769
2019,VCC-Clark Station,Sat,1264
2019,VCC-Clark Station,Sun/Hol,855
2019,Waterfront Station,MF,41629
2019,Waterfront Station,Sat,28164
2019,Waterfront Station,Sun/Hol,22516
2019,Yaletown-Roundhouse Station,MF,11325
2019,Yaletown-Roundhouse Station,Sat,8856
2019,Yaletown-Roundhouse Station,Sun/Hol,6904
2019,YVR-Airport Station,MF,8816
2019,YVR-Airport Station,Sat,7738
2019,YVR-Airport Station,Sun/Hol,8463
2022,22nd Street Station,MF,8654
2022,22nd Street Station,Sat,6042
2022,22nd Street Station,Sun/Hol,4629
2022,29th Avenue Station,MF,5575
2022,29th Avenue Station,Sat,4811
2022,29th Avenue Station,Sun/Hol,3705
2022,Aberdeen Station,MF,2941
2022,Aberdeen Station,Sat,3204
2022,Aberdeen Station,Sun/Hol,2591
2022,Braid Station,MF,3279
2022,Braid Station,Sat,2170
2022,Braid Station,Sun/Hol,1588
2022,Brentwood Town Centre Station,MF,5148
2022,Brentwood Town Centre Station,Sat,4043
2022,Brentwood Town Centre Station,Sun/Hol,2907
2022,Bridgeport Station,MF,7322
2022,Bridgeport Station,Sat,6736
2022,Bridgeport Station,Sun/Hol,5579
2022,Broadway-City Hall Station,MF,8899
2022,Broadway-City Hall Station,Sat,6629
2022,Broadway-City Hall Station,Sun/Hol,5085
2022,Burquitlam Station,MF,3482
2022,Burquitlam Station,Sat,2581
2022,Burquitlam Station,Sun/Hol,1881
2022,Burrard Station,MF,15213
2022,Burrard Station,Sat,10383
2022,Burrard Station,Sun/Hol,8105
2022,Columbia Station,MF,3548
2022,Columbia Station,Sat,2654
2022,Columbia Station,Sun/Hol,1904
2022,Commercial-Broadway Station,MF,16266
2022,Commercial-Broadway Station,Sat,13165
2022,Commercial-Broadway Station,Sun/Hol,9718
2022,Coquitlam Central Station,MF,3816
2022,Coquitlam Central Station,Sat,3094
2022,Coquitlam Central Station,Sun/Hol,2215
2022,Edmonds Station,MF,8878
2022,Edmonds Station,Sat,6485
2022,Edmonds Station,Sun/Hol,4825
2022,Gateway Station,MF,4790
2022,Gateway Station,Sat,3683
2022,Gateway Station,Sun/Hol,2751
2022,Gilmore Station,MF,2901
2022,Gilmore Station,Sat,1714
2022,Gilmore Station,Sun/Hol,1150
2022,Granville Station,MF,14165
2022,Granville Station,Sat,12760
2022,Granville Station,Sun/Hol,9555
2022,Holdom Station,MF,2211
2022,Holdom Station,Sat,1651
2022,Holdom Station,Sun/Hol,1184
2022,Inlet Centre Station,MF,1606
2022,Inlet Centre Station,Sat,1236
2022,Inlet Centre Station,Sun/Hol,852
2022,Joyce-Collingwood Station,MF,12443
2022,Joyce-Collingwood Station,Sat,11078
2022,Joyce-Collingwood Station,Sun/Hol,8717
2022,King Edward Station,MF,5010
2022,King Edward Station,Sat,4135
2022,King Edward Station,Sun/Hol,3233
2022,King George Station,MF,11063
2022,King George Station,Sat,7925
2022,King George Station,Sun/Hol,5816
