Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
22nd Street,Station,New Westminster,Burnaby/New Westminster,1985,100; 101; 104; 128; 155; 340; 388; 410; 418,52183; 52230; 52373; 53497; 55933; 56919; 58173; 58322,Expo/Millennium Line,10400,10100,6000,6300,4900,5100,8650,8470,6040,5560,4630,4400,0,0,0,0,0,0,4000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.948947,49.200056,1,293209b7-dd9e-468c-818a-2b09f3c962c5,-13686624.7979,6308859.2001
29th Avenue,Station,Vancouver,Vancouver/UBC,1985,016; 026; 029; 033,51056; 51603; 51818; 60208,Expo/Millennium Line,3500,3200,2800,2600,2300,2200,5580,5570,4810,4750,3700,3800,0,0,0,0,0,0,15000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.045944,49.244203,2,2a44d4bb-d87c-45dc-98e1-17c790cd39c8,-13697354.4837,6316393.9768
Aberdeen,Station,Richmond,Southeast,2009,403; 410; N10,56564; 58198,Canada Line,960,970,650,710,530,580,2940,3110,3200,3370,2590,2670,0,0,0,0,0,0,4000,15000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.136286,49.184448,3,b3b4874d-d801-47c0-88ab-06adfe871632,-13707464.2568,6306163.0845
Blanca,Loop,UBC/UEL,Vancouver/UBC,1930,004; 014,50273; 50600,None,20,20,40,50,20,30,0,0,0,0,0,0,0,0,0,0,0,0,5300,1500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.215644,49.265128,4,03d2e769-3d6e-4ed5-941c-dcde355f4f94,-13716302.7146,6319968.453
Boundary,Loop,Vancouver,Vancouver/UBC,1953,009; 099; N9,50901; 52092,None,540,450,270,230,200,190,0,0,0,0,0,0,0,0,0,0,0,0,3500,5700,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.025191,49.265474,5,d53e108e-f3ea-450a-90ae-b2e18b69269f,-13695101.5991,6320027.4657
Braid,Station,New Westminster,Burnaby/New Westminster,2002,128; 153; 155; 156; 159; 169; 791,58079; 58082; 58083; 58084; 58085; 58086,Expo/Millennium Line,3100,2800,1700,1600,1200,1100,3280,3280,2170,2120,1590,1610,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.882803,49.233244,6,9fb49963-7755-45c1-8734-15ab22c19277,-13679256.4812,6314466.4974
Brentwood Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,025; 123; 130; 134; 136; 222; N9,51389; 60329; 60515; 60516; 61802; 61803,Expo/Millennium Line,4400,3500,2300,1900,2000,1600,5150,5390,4040,4170,2910,3050,0,0,0,0,0,0,16000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.001664,49.266384,7,ca1b6a1d-b6a1-44a5-9919-cc87d0049417,-13692539.1021,6320169.359
Bridgeport,Station,Richmond,Southeast,2009,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,7200,6800,5400,5100,4800,4700,7320,7470,6740,6920,5580,5620,0,0,0,0,0,0,4000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.125904,49.195535,8,762e5ed2-285a-49d8-a091-6c2f2aecad2a,-13706457.1997,6308036.543
Broadway-City Hall,Station,Vancouver,Vancouver/UBC,2009,009; 015/050; 017; 099; N15; N9,58501; 60307; 60534; 60535; 61027,Canada Line,7500,7600,5500,5300,4400,4000,8900,8780,6630,6590,5090,5290,0,0,0,0,0,0,17000,24000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.114815,49.262731,9,2780e30f-14d5-4c4d-a277-2f85aa79dcb3,-13704938.6989,6319650.7297
Burquitlam,Station,Coquitlam,Northeast Sector,2016,143; 151; 156; 157; 180; N9,53122; 53208; 59531; 59554; 59557; 59561,Expo/Millennium Line,2200,2200,760,720,580,550,3480,3600,2580,2560,1880,1940,0,0,0,0,0,0,12000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.889868,49.261426,10,0431d114-4f7a-47dd-9285-252402b91707,-13679973.4776,6319316.9609
Burrard,Station,Vancouver,Vancouver/UBC,1985,002; 005/006; 019; 022; 044; 209; 210; 211; 214; N22; N24; R5,50031; 50043; 50076; 50405; 51842; 51843; 53312; 58099,Expo/Millennium Line,8400,7100,6400,5100,5200,4300,15210,15930,10380,11080,8110,8090,0,0,0,0,0,0,27000,103000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.119346,49.285628,11,41b6d9c5-4cf6-4fc9-9b33-94a0a511d174,-13705694.727,6323497.025
Capilano University,Exchange,North Vancouver District,North Shore,2009,245; 255,54423; 61070; 61071; 61239,None,1300,570,160,70,90,60,0,0,0,0,0,0,0,0,0,0,0,0,3300,600,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.018632,49.319256,12,42288216-6c6f-44f0-8d8d-7e0720150b91,-13694371.4244,6329207.1449
Carvolth,Exchange,Langley Township,Southeast,2012,388; 501; 509; 555; 562; 595,61709; 61710; 61711; 61712; 61714; 61715; 61716; 61717; 61719; 61720,None,2800,2700,1500,1500,1000,990,0,0,0,0,0,0,0,0,0,0,0,0,6100,3900,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.659479,49.160287,13,29243e58-f9b4-43d3-a5c3-4ccc916cf34b,-13654390.7002,6302102.5992
Caulfeild,Exchange,West Vancouver,North Shore,,253; 262,54704; 60887,None,150,110,50,80,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3200,600,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.252445,49.350696,14,04ff3781-f5ef-4a9f-98dd-931667cb28a1,-13720399.4349,6334577.9673
Cloverdale,Exchange,Surrey,Southeast,,320; 342,55982; 59590; 59795,None,220,290,140,200,100,140,0,0,0,0,0,0,0,0,0,0,0,0,5500,5300,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.733575,49.107789,15,78b76831-4dbe-4b5b-98ff-c1eeba94165c,-13662639.1066,6293170.7172
Columbia,Station,New Westminster,Burnaby/New Westminster,1989,103; 105; 109; 321; N19,52317; 52331; 52431,Expo/Millennium Line,240,420,180,270,140,210,3550,3070,2650,2370,1900,1670,0,0,0,0,0,0,15000,8000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.906383,49.204672,16,911b9e75-052e-46ac-bf1b-bffd8a4b5d99,-13681876.0183,6309667.5448
Commercial-Broadway,Station,Vancouver,Vancouver/UBC,1985,009; 020; 099; N20; N9,50913; 50963; 52094; 52102; 58327; 58402; 58491; 58620; 58621,Expo/Millennium Line,17300,15500,11800,10800,8800,7900,16270,17090,13170,13720,9720,10230,0,0,0,0,0,0,28000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2022,-123.068793,49.262418,17,5d9bfaf0-250a-49c0-81d0-ab885e56d047,-13699912.9603,6319529.9196
Coquitlam Central,Station,Coquitlam,Northeast Sector,1991,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570; 60390; 61306,Expo/Millennium Line; West Coast Express,5400,890,4200,750,3200,580,4190,4390,3100,3190,2270,2360,0,0,0,0,0,0,4000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.800292,49.274416,18,3e96066d-4965-4636-9d40-436892582993,-13670026.413,6321683.8025
Deep Cove,Exchange,North Vancouver District,North Shore,,211; 212,54053; 59518,None,200,160,290,290,360,310,0,0,0,0,0,0,0,0,0,0,0,0,3000,700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.950708,49.326254,19,2f029ace-c058-44d0-86cc-b0a3ae0b2d9d,-13686810.2367,6330402.2023
Dunbar,Exchange,Vancouver,Vancouver/UBC,1950,002; 007; 041; 049; N22; R4,50298; 50640; 50737; 51893; 60393; 60394; 60745,None,2500,2500,1800,1800,1400,1400,0,0,0,0,0,0,0,0,0,0,0,0,5600,1300,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.185596,49.234709,20,27ad1d45-3034-43fd-b31b-22258cd0d610,-13712957.8324,6314780.832
Edgemont Village,Exchange,North Vancouver District,North Shore,,232; 246/249,54307,None,90,180,70,150,40,80,0,0,0,0,0,0,0,0,0,0,0,0,4900,1600,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.103668,49.338772,21,98b14a25-f5f9-483b-9838-8ab3cf36157a,-13703837.5915,6332540.5889
Edmonds,Station,Burnaby,Burnaby/New Westminster,1985,101; 106; 112; 116; 119; 129/133; 147; 148,52453; 52605; 52667; 52771; 52992; 59868,Expo/Millennium Line,7300,6300,4700,3900,3500,2900,8880,8650,6480,6140,4820,4650,0,0,0,0,0,0,15000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.959192,49.212064,22,cd8a1c12-644b-4592-bb65-e726a20a768c,-13687697.5864,6310924.1898
Gateway,Station,Surrey,Southeast,1994,335; 371; 373,55789; 55807; 58124,Expo/Millennium Line,1500,2100,940,1200,670,860,4790,4290,3680,3320,2750,2560,0,0,0,0,0,0,11000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.850601,49.198916,23,7754bcb8-647b-4f9f-b50e-e7368102c507,-13675685.2785,6308689.0148
Gilmore,Station,Burnaby,Burnaby/New Westminster,2002,028,58345,Expo/Millennium Line,200,390,110,210,110,240,2900,2770,1710,1610,1150,1030,0,0,0,0,0,0,10000,14000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.013507,49.264956,24,e45f427e-5833-456d-b1bd-e1474e378756,-13693842.4382,6319900.9919
Granville,Station,Vancouver,Vancouver/UBC,1985,004; 007; 010; 014; 015/050; 016; 017; 020; N10; N15; N17; N19; N20; N24; N35; N8; N9,60993; 61519,Canada Line; Expo/Millennium Line,700,1800,750,1400,590,1200,14170,15920,12760,15130,9550,10660,0,0,0,0,0,0,30000,106000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.115675,49.28317,25,c4a6d01c-1944-417d-8a1f-aefa4c8b6afe,-13705151.1388,6323013.2471
Guildford,Exchange,Surrey,Southeast,1975,320; 326; 335; 337; 341; 373; 375; 501; 509; R1,55128; 55131; 55760; 58175; 59237; 61597,None,4300,4400,4100,4100,3300,3400,0,0,0,0,0,0,0,0,0,0,0,0,17100,7300,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.802726,49.191498,26,4bc9c1b1-a9cf-453e-b025-23af8fcf52f7,-13670336.9127,6307417.3146
Haney Place,Exchange,Maple Ridge,Maple Ridge/Pitt Meadows,2008,701; 733; 741; 743; 744; 745/746; 748; 749; 791; R3,61057; 61058; 61059; 61060; 61061; 61062; 61063; 61064,None,2000,2200,1400,1500,1100,1200,0,0,0,0,0,0,0,0,0,0,0,0,9000,6200,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.597069,49.219462,27,2267dfd9-0f23-4fcc-bf56-dcc59665c14b,-13647443.2673,6312181.8445
Holdom,Station,Burnaby,Burnaby/New Westminster,2002,129/133; 136; N9,53302; 53309; 58342,Expo/Millennium Line,670,570,420,320,380,220,2210,1930,1650,1400,1180,1060,0,0,0,0,0,0,8000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.982137,49.264729,28,f11c0203-ebbe-40a6-b80f-6fa4ce09fc7a,-13690325.6264,6319912.2734
Horseshoe Bay,Exchange,West Vancouver,North Shore,1961,250; 257; 262,54556,None,1400,1300,1600,1400,1700,1500,0,0,0,0,0,0,0,0,0,0,0,0,1500,300,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.272695,49.374277,29,0ca9a4a4-edc1-4f50-86ad-e1ae591f6807,-13722653.6152,6338608.5923
Inlet Centre,Station,Port Moody,Northeast Sector,2016,160; 179; 183; 184/185; N9,53267; 59569; 61988,Expo/Millennium Line,90,250,50,130,40,90,1610,1560,1240,1170,850,830,0,0,0,0,0,0,13000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.828179,49.277299,30,ae4814e9-98de-4f3f-b758-959fc54f698b,-13673091.9921,6322080.0795
Joyce-Collingwood,Station,Vancouver,Vancouver/UBC,1985,026; 027; 028; 041; R4,51671; 51722; 51787; 58249; 59664; 61609,Expo/Millennium Line,10000,8700,7100,6200,5500,4900,12440,12540,11080,10750,8720,8790,0,0,0,0,0,0,21000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2022,-123.031806,49.238405,31,c228aef0-b4eb-423f-9e57-a32e0fa7acb5,-13695822.9158,6315393.2179
King Edward,Station,Vancouver,Vancouver/UBC,2009,015/050; 025; 033; N15,50419; 50475; 51513; 51574; 60607,Canada Line,3700,3800,2500,2800,2100,2100,5010,4990,4140,4040,3230,3420,0,0,0,0,0,0,10000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2022,-123.115027,49.248556,32,2240c94c-110f-492d-83bc-f7cdeeddce73,-13705142.0656,6317221.7219
King George,Station,Surrey,Southeast,1994,314; 321; 326; 329; 345; 394; 395; 502; 503; R1,54990; 54996; 59339; 60480,Expo/Millennium Line,3100,10000,1500,6200,1200,4600,11060,5270,7920,3650,5820,2700,0,0,0,0,0,0,15000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2022,-122.844749,49.182796,33,8feed40b-43b6-4e10-8a91-ef00d16e508a,-13674897.6302,6305877.8298
Knight Street-Marine Drive,Exchange,Vancouver,Vancouver/UBC,1974,022; 100; 405; 407; N20,51318; 52140; 52205; 56958,None,1800,1500,1100,890,960,800,0,0,0,0,0,0,0,0,0,0,0,0,8200,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.075604,49.211099,34,4816223b-a6ce-48e5-8b50-02e6725536a8,-13700713.5133,6310756.7619
Kootenay,Exchange,Vancouver,Vancouver/UBC,1950,014; 027; 028; 130; 131; 160; 222; N35; R5,50955; 51470; 51695; 52717; 58042; 58043; 59889; 60600,None,3600,3500,2400,2300,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,10500,2900,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.026275,49.28129,35,e0c34325-cd20-4a3b-8126-978830bcac7e,-13695222.244,6322725.8923
Ladner,Exchange,Delta,Southwest,1978,310; 601; 606; 608; 616; 618; 620; 640,55164; 56664; 56673; 57395; 57396; 57518; 57562,None,1600,1500,1200,1200,1200,1100,0,0,0,0,0,0,0,0,0,0,0,0,5700,2600,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.061363,49.087673,36,fcc8d22f-ac0f-4ba8-9838-fed45acb72e9,-13699128.3205,6289750.8525
Lafarge Lake-Douglas,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; 191; N9,53743; 53868; 58666; 59565,Expo/Millennium Line,670,460,400,280,300,240,1870,1930,1250,1310,910,1000,0,0,0,0,0,0,21000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.791638,49.285748,37,62f8ec98-4392-413e-9817-3c974d1ce79d,-13669149.6728,6323424.5202
Lake City Way,Station,Burnaby,Burnaby/New Westminster,2003,N9,53305; 53308,Expo/Millennium Line,0,0,0,10,10,10,840,870,430,420,300,310,0,0,0,0,0,0,3000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.939039,49.254618,38,72809e75-0af9-4115-86eb-43c3178f5b86,-13685437.9943,6318169.114
Langara-49th Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 049; N15,50985; 50999; 51967; 61218,Canada Line,4700,4500,3100,3400,2600,2900,6290,6100,4390,4090,3540,3410,0,0,0,0,0,0,9000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.116569,49.225737,39,9b205426-21eb-466c-b32e-2c08cf248879,-13705246.8459,6313324.5204
Langley Centre,Exchange,Langley City,Southeast,1975,320; 342; 364; 372; 395; 501; 502; 503; 509; 531; 560/561; 562; 563; 564; 595,55299; 57027; 57097; 57136; 57143; 57188; 59863,None,3700,3400,2600,2500,2100,2000,0,0,0,0,0,0,0,0,0,0,0,0,8800,8000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.654344,49.106391,40,1a1c48d9-9af4-415a-b4d4-987f58945467,-13653819.0926,6292933.1033
Lansdowne,Station,Richmond,Southeast,2009,403; 405; 410; 416; N10,56454; 58196; 59771; 61978,Canada Line,550,600,490,590,390,420,3250,3370,3120,3130,2410,2430,0,0,0,0,0,0,21000,16000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.136355,49.173716,41,47225e69-17d0-493e-8c91-8e2237da69bc,-13707474.1596,6304495.8062
Lincoln,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; N9,59890; 59935,Expo/Millennium Line,640,940,540,730,450,600,2910,2690,2610,2380,1930,1780,0,0,0,0,0,0,19000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.79382,49.280416,42,36953a3c-88dd-46df-b2eb-b3a275eca045,-13669353.8486,6322541.5474
Lonsdale Quay,Station,North Vancouver City,North Shore,1977,228; 229; 230; 231; 236; 246/249; N24; R2,50980; 54134; 54196; 54410; 54421; 54516; 58724; 58725; 60473,SeaBus,3700,3100,4100,3300,3200,2500,0,0,0,0,0,0,7000,6700,8300,7800,5600,5600,9700,8500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.083044,49.310395,43,7d579b7c-6bb4-4f3a-83de-72304dba982e,-13701541.7761,6327694.0561
Lougheed Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,101; 109; 110; 136; 152; 156; 157; 180; 555; N9,58430; 58431; 58432; 58433; 58434; 58436; 58437; 58438; 58439,Expo/Millennium Line,4900,4300,2900,2600,2200,1900,9090,9070,6820,6780,4940,4970,0,0,0,0,0,0,34000,11000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.896859,49.248431,44,d191b377-1124-4f71-8861-0a349ca3264c,-13680715.2069,6317073.8276
Lynn Valley Centre NightBus,Exchange,North Vancouver District,North Shore,,209; 210; 227; 228; 229; 240; N24,53977; 54002; 54003; 54182; 59526,None,730,570,680,530,570,430,0,0,0,0,0,0,0,0,0,0,0,0,10400,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.03842,49.336837,45,cb32c350-8ac3-4865-a7c7-6d0eac5e69fc,-13696574.2401,6332210.1212
Main Street-Science World,Station,Vancouver,Vancouver/UBC,1983,003; 008; 019; 022; 023; N19; N8,50181; 50233; 59925,Expo/Millennium Line,4400,4000,3900,3600,3000,2800,9220,8850,8340,8100,6030,5630,0,0,0,0,0,0,20000,20000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2022,-123.100344,49.273152,46,497c878c-e312-4b99-9d54-f64dfa8be8f5,-13703498.1331,6321343.5454
Maple Meadows,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,595; 701; 719/722; 743; 744; 791,57585; 57654; 57670; 57753; 59645; 59646; 60233,West Coast Express,910,870,590,550,470,400,220,210,0,0,0,0,0,0,0,0,0,0,6000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.666697,49.216661,47,d908fb7e-7a10-4e7e-a422-b084c7247880,-13655148.4735,6311765.2881
Marine Drive,Station,Vancouver,Vancouver/UBC,2009,003; 010; 015/050; 017; 100; N15; N20; N8,61337; 61338,Canada Line,5500,5400,4700,4400,3800,3700,8180,8160,7160,6950,5840,5850,0,0,0,0,0,0,9000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.117073,49.209785,48,b7c4b9b4-d5a6-4870-bb3e-302b3d1df809,-13705186.6983,6310458.7849
Marpole,Exchange,Vancouver,Vancouver/UBC,1905,010; 100,50738; 51120; 52123; 54824; 59930,None,990,660,790,530,610,420,0,0,0,0,0,0,0,0,0,0,0,0,9000,5600,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.133159,49.203212,49,8d64e9cb-8f9c-4e26-a222-5298bf69fdd8,-13707120.5127,6309412.7897
Matthews,Exchange,Delta,Southwest,1987,310; 311; 351,54876; 54877; 54878; 55179,None,380,380,340,340,300,300,0,0,0,0,0,0,0,0,0,0,0,0,300,10800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.95945,49.090558,50,4d0fe285-cf7e-4d90-94bb-5f9d8d7e83d3,-13687783.3157,6290241.1366
Meadowtown,Exchange,Pitt Meadows,Maple Ridge/Pitt Meadows,,719/722; 743; 744,59616; 59617,None,40,50,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,2200,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.672599,49.221824,51,530e3ac9-95a4-4e0a-8028-290d67e9ec0d,-13655851.2568,6312584.4446
Metrotown,Station,Burnaby,Burnaby/New Westminster,1985,019; 031; 049; 110; 116; 119; 129/133; 130; 144; 146; 147; 222; 430,51164; 51999; 52390; 52499; 52646; 52692; 52736; 52804; 60195; 60211; 60212; 60213; 60214,Expo/Millennium Line,15400,12900,10200,8400,9000,7500,19180,20550,18190,19230,14330,15240,0,0,0,0,0,0,27000,21000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,No,2022,-123.003807,49.225769,52,b477be4b-2589-4ef8-80cd-83e369b8da02,-13692660.6012,6313258.374
Mission City,Station,Mission,Outside of Region,1995,701,60979,West Coast Express,40,30,0,0,0,0,250,160,0,0,0,0,0,0,0,0,0,0,3000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-122.303974,49.133695,53,dea78f65-ed26-4c6d-8750-85f9723fa216,-13614760.2864,6297486.0314
Moody Centre,Station,Port Moody,Northeast Sector,1995,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,970,1100,540,590,390,450,2280,2180,1540,1520,1090,1090,0,0,0,0,0,0,5000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.845861,49.278031,54,ab0b8f06-247b-4f0f-bf8d-2b1b61a9b627,-13675188.4734,6322112.5429
Nanaimo,Station,Vancouver,Vancouver/UBC,1985,007; 025,50688; 51560; 60314,Expo/Millennium Line,4300,3900,3200,3000,2600,2200,5450,5400,4600,4450,3520,3510,0,0,0,0,0,0,13000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.05572,49.248243,55,6ebc561e-1c61-4759-a723-48df8031442d,-13698521.256,6317102.1177
New Westminster,Station,New Westminster,Burnaby/New Westminster,1985,103; 105; 106; 109; 112; 123; 321; N19,61649; 61650; 61651; 61652; 61654; 61655; 61656; 61657; 61678,Expo/Millennium Line,5700,4000,4200,3100,3400,2300,11710,12010,8740,8870,6330,6520,0,0,0,0,0,0,17000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-122.912623,49.201418,56,117c1a64-18e6-4645-9b57-be2e9f50b258,-13682601.3223,6309080.8589
Newton,Exchange,Surrey,Southeast,1975,301; 319; 321; 322; 323; 324; 325; 335; 341; 342; 393; R1,55411; 55456; 55538; 55578; 55645; 55688; 55944; 56019; 61703; 61704; 61705,None,14300,13200,11200,10400,9400,8800,0,0,0,0,0,0,0,0,0,0,0,0,9700,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-122.842792,49.133023,57,ca3cd7e0-0228-4adc-9c75-5d26f8071472,-13674797.0493,6297462.8312
NightBus District,Exchange,Vancouver,Vancouver/UBC,2003,004; 007; 010; 014; 015/050; 016; N15; N19; N20; N22; N24; N35; N8,50526; 59832; 61917,None,2000,750,1400,610,1000,520,0,0,0,0,0,0,0,0,0,0,0,0,20400,100900,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.117092,49.284537,58,a3268339-8bf1-4843-b5b2-d6088ed63751,-13705332.0161,6323280.008
Oakridge-41st Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 041; N15; R4,50136; 50160; 50467; 50621; 50981; 61281,Canada Line,5800,6400,4200,4600,3400,3500,5840,5580,4900,4640,3780,3810,0,0,0,0,0,0,9000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.116271,49.232943,59,99108cd1-e3df-4213-b467-3df10725aabd,-13705230.2145,6314580.7849
Olympic Village,Station,Vancouver,Vancouver/UBC,2009,015/050; 084,61039; 61040; 61254,Canada Line,1700,1600,1100,980,780,670,3160,2800,2470,2240,1840,1680,0,0,0,0,0,0,15000,23000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.114801,49.26657,60,7ee1bef9-fe20-4348-9470-760113a2dd7d,-13705154.6384,6320169.5191
Park Royal,Exchange,West Vancouver,North Shore,1959,250; 251; 252; 253; 254; 255; 256; 257; R2,54411; 54441; 54442; 54608; 61772; 61776; 61782,None,4900,4900,4600,4100,4200,3700,0,0,0,0,0,0,0,0,0,0,0,0,4600,4700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.137719,49.327948,61,8f691384-2789-460f-bbfc-f809ebab3a25,-13707628.2036,6330691.6854
Patterson,Station,Burnaby,Burnaby/New Westminster,1985,110; 129/133,52515; 52586,Expo/Millennium Line,720,690,420,400,390,320,3210,3240,2860,2880,2220,2290,0,0,0,0,0,0,19000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.01264,49.229748,62,3c948ea1-cc0c-4fb1-ba0d-f5ff2b8fb86d,-13693685.1927,6313925.4745
