Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Scott Road,Station,Surrey,Southeast,1990,312; 319; 321; 371; 391; 640; N19,53104; 54916; 55096; 55835; 57566; 58150,Expo/Millennium Line,9800,9000,6800,6200,5500,5000,10720,11070,7940,8010,6220,6400,0,0,0,0,0,0,2000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.874168,49.204428,260,cc5dd889-ca12-470c-aa1a-ae0ab7952718,-13678223.2577044,6309495.92731426
Scottsdale,Exchange,Surrey,Southeast,1998,301; 310; 311; 312; 316; 319; 322; 329; 340; 364; 391,54793; 54887; 55041; 55178; 55192; 55499; 55941; 56022; 56394,None,7200,6800,5300,5000,4600,4200,0,0,0,0,0,0,0,0,0,0,0,0,9400,2700,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.88816,49.137548,261,5da798ed-fee2-414e-a190-d11a7547fb68,-13679847.3882889,6298232.68266465
Sea Island Centre,Station,Richmond,Southwest,2009,N10,52112; 52228,Canada Line,0,0,0,0,0,0,980,1050,630,670,580,630,0,0,0,0,0,0,400,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.159011,49.192682,262,bb34b28e-497f-423a-962f-58a64144a3fe,-13709877.5057087,6307633.21313916
Snug Cove,Exchange,Bowen Island,North Shore,,280; 281; 282,58013,None,40,60,50,50,50,40,0,0,0,0,0,0,0,0,0,0,0,0,600,500,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.333561,49.379762,263,8a798556-7cb5-4ae6-b816-52827cc9ff16,-13729429.1892656,6339546.5368848
South Delta,Exchange,Delta,Southwest,1975,601; 602; 603; 604; 609; 614; 619,57377; 58597; 59852,None,310,310,160,160,140,150,0,0,0,0,0,0,0,0,0,0,0,0,3700,1500,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.067915,49.036056,264,fd1bc455-3b46-49de-b6f5-8bbb37018f05,-13699857.6622243,6280981.52894476
South Surrey,Exchange,Surrey,Southeast,1991,321; 351; 352; 354; 394,59810; 59931; 59932; 59933,None,1700,1600,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.821967,49.072485,265,d9bad5b3-61df-47de-a24c-c97df6039720,-13672478.808757,6287169.52010389
Sperling-Burnaby Lake,Station,Burnaby,Burnaby/New Westminster,2002,110; 134; 144,58440; 58441; 58442,Expo/Millennium Line,1400,1400,870,860,690,670,1860,1670,1310,1150,990,900,0,0,0,0,0,0,4000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.963858,49.259163,266,a3854d19-9e6a-4f5b-9683-40fb40e3b50b,-13688296.8414034,6318914.74671716
Stadium-Chinatown,Station,Vancouver,Vancouver/UBC,1985,005/006; 023; 257; N15; N24,50081; 59558; 59991; 59992; 60302,Expo/Millennium Line,2100,1800,1700,1700,1500,1300,12990,13430,12890,14050,8740,8880,0,0,0,0,0,0,31000,75000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.109171,49.279293,267,24cb5f91-0027-4769-81d6-13991f55f68a,-13704512.3906088,6322440.01249203
Stanley Park,Loop,Vancouver,Vancouver/UBC,2003,019,58727; 58728,None,430,400,580,580,620,520,0,0,0,0,0,0,0,0,0,0,0,0,200,400,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.133859,49.300537,268,124fbe7d-2777-43d5-be9a-fea848b7a180,-13707198.4371416,6326010.86738998
Steveston,Exchange,Richmond,Southwest,,401; 402; 406; 407; 413,56421; 56517; 58194,None,680,580,740,530,610,420,0,0,0,0,0,0,0,0,0,0,0,0,6400,2700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.184108,49.126421,269,64279d4e-4cc6-4b76-afd3-c2991758051b,-13712792.199356,6296339.61725006
