SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2023,4,MF,Summer,21,EAST,13.40308642,28.51720515
2023,4,MF,Summer,21,WEST,17.07907848,36.33846486
2023,4,MF,Summer,24,WEST,NULL,NULL
2023,4,Sat,Fall,4,EAST,NULL,NULL
2023,4,Sat,Fall,6,EAST,12.80029586,27.23467204
2023,4,Sat,Fall,6,WEST,15.28282051,32.51663939
2023,4,Sat,Fall,9,EAST,37.48354701,79.75222768
2023,4,Sat,Fall,9,WEST,27.31295788,58.11267633
2023,4,Sat,Fall,15,EAST,48.52701465,103.2489673
2023,4,Sat,Fall,15,WEST,33.02417582,70.26420388
2023,4,Sat,Fall,18,EAST,35.29487179,75.0954719
2023,4,Sat,Fall,18,WEST,28.50074786,60.63988907
2023,4,Sat,Fall,21,EAST,19.36794872,41.20840153
2023,4,Sat,Fall,21,WEST,30.03233618,63.89858762
2023,4,Sat,Fall,24,WEST,NULL,NULL
2023,4,Sat,Summer,4,EAST,NULL,NULL
2023,4,Sat,Summer,6,EAST,9.37037037,19.93695823
2023,4,Sat,Summer,6,WEST,16.82222222,35.79196217
2023,4,Sat,Summer,9,EAST,23.24915515,49.46628754
2023,4,Sat,Summer,9,WEST,21.10555556,44.90543735
2023,4,Sat,Summer,15,EAST,29.17460317,62.07362378
2023,4,Sat,Summer,15,WEST,25.30272109,53.83557678
2023,4,Sat,Summer,18,EAST,28.67037037,61.00078802
2023,4,Sat,Summer,18,WEST,22.68287037,48.26142632
2023,4,Sat,Summer,21,EAST,19.11111111,40.66193853
2023,4,Sat,Summer,21,WEST,11.52469136,24.52061991
2023,4,Sat,Summer,24,WEST,NULL,NULL
2023,4,Sun/Hol,Fall,4,EAST,NULL,NULL
2023,4,Sun/Hol,Fall,4,WEST,NULL,NULL
2023,4,Sun/Hol,Fall,6,EAST,11.45042226,24.36260055
