Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,38000,25000,9.8,26 km/h,97,691554,2304,1143,899,1,87%,2098341,21084,,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,21722.1350050365,2024,670,21722.1350050524,7a412b2b-82fb-44f3-9920-e1c9051dc29e
155,BRAID STN/22ND STREET  STN,Burnaby/New Westminster,Std. Bus,Standard,40000,27000,7.5,18 km/h,104,655274,2009,1470,1210,1,91%,1716910,17815,,22nd Street; Braid,Expo/Millennium Line,12410.5921032203,2024,671,12410.5921032117,a6aa356d-0f5c-480b-806a-1b6db6462260
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,69000,30000,15,24 km/h,96,693038,2225,1628,836,1,81%,2225725,20689,,Braid; Burquitlam; Lougheed Town Centre,Expo/Millennium Line,26834.1849905716,2024,672,26834.1849905882,7bbe8046-20aa-4e4c-858a-ed59555c8752
157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Std. Bus,Standard,56000,20000,10.8,23 km/h,117,484395,1487,1059,909,1,90%,1568326,18822,,Burquitlam; Lougheed Town Centre,Expo/Millennium Line,19577.0633079362,2024,673,19577.0633079427,2df32f3f-c52d-40fd-be69-3ec4028eae99
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,52000,45000,16.6,26 km/h,95,736701,2393,1589,894,4,83%,2910476,26718,,Braid; Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,45981.2680100645,2024,674,45981.2680100727,7bf53ba4-797b-4660-b6d8-27e17ab54fa0
160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent,94000,44000,26.1,26 km/h,63,1240907,3743,2927,2409,0,77%,6819111,63392,,Coquitlam Central; Inlet Centre; Kootenay; Lafarge Lake-Douglas; Lincoln; Moody Centre; Port Coquitlam,Expo/Millennium Line; West Coast Express,65199.9835455073,2024,675,65199.9835455352,a317ae94-2dcf-4b26-aaec-d268cd6fa7b7
169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard,23000,28000,11.1,29 km/h,128,317237,841,927,918,0,93%,1232335,16177,,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,29076.4406369405,2024,676,29076.4406369587,119f73fc-86ce-4ee4-940f-82f5dd00dc2e
170,PT COQUITLAM STN/PT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent,22000,10000,4.1,23 km/h,167,89117,308,119,97,0,92%,635036,9248,,Port Coquitlam,West Coast Express,12476.9281521789,2024,677,12476.9281521891,965c06b2-0f1d-4924-a527-66892382c7d1
171/172,COQUITLAM CENTRAL STN/RIVERSIDE/FREMONT,Northeast Sector,Mini-Bus,Basic,41000,21000,8.8,26 km/h,112,536812,1772,1087,599,0,84%,1875192,26958,,Coquitlam Central,Expo/Millennium Line; West Coast Express,31606.5547058485,2024,678,31606.5547058391,bade7f0e-cd6c-4499-9369-f8c69777795e
173/174,COQUITLAM CENTRAL STN/CEDAR/ROCKLIN,Northeast Sector,Mini-Bus,Basic,57000,25000,10.8,25 km/h,127,389002,1280,747,483,0,73%,2454023,36648,,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,37671.8558851147,2024,679,37671.8558851064,17a64e3f-9c7e-4a2d-8e63-806723a7cf29
