SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,8,SAT,Fall,24,71.75,108,2.155555556,34.73984251,13.84768722
2022,8,SAT,Summer,4,30.0833332,40.7499999,2.5,20.66607185,6.907825839
2022,8,SAT,Summer,6,134.9805554,169.1472221,4,50.83879242,28.59270182
2022,8,SAT,Summer,9,438.1249997,523.9583331,4.833333333,70.6726144,53.38523994
2022,8,SAT,Summer,15,240.5805554,289.4138887,5,68.28105742,54.75698239
2022,8,SAT,Summer,18,175.4638887,216.297222,4.5,64.66042627,42.02062903
2022,8,SAT,Summer,21,142.7138888,176.2138888,4,49.26659439,29.29594697
2022,8,SAT,Summer,24,47.8333332,71.9999999,2.166666667,35.39643517,14.10941231
2022,8,SUN,Fall,4,29.925,63.225,2,26.79712788,11.13755627
2022,8,SUN,Fall,6,186.38,227.18,3.166666667,46.42164805,25.29844083
2022,8,SUN,Fall,9,619.01,743.51,4.083333333,76.55752599,53.73001606
2022,8,SUN,Fall,15,316.395,368.295,4,82.46030434,60.39358332
2022,8,SUN,Fall,18,296.035,368.335,4.333333333,56.92099359,36.0055691
2022,8,SUN,Fall,21,229.905,288.405,4,39.48578203,21.01383963
2022,8,SUN,Fall,24,71.385,104.385,2,17.64628061,6.998220784
2022,8,SUN,Summer,4,19.95,42.15,2,25.51321702,10.60393082
2022,8,SUN,Summer,6,124.2533332,151.4533332,3.166666667,48.38201637,26.36678421
2022,8,SUN,Summer,9,412.6733331,495.6733331,4.083333333,74.44670953,52.24859143
2022,8,SUN,Summer,15,210.9299998,245.5299998,4,78.49572068,57.4899387
2022,8,SUN,Summer,18,197.3566665,245.5566665,4.333333333,59.66444051,37.74094579
2022,8,SUN,Summer,21,153.2699999,192.2699999,4,45.75953941,24.35265486
2022,8,SUN,Summer,24,47.5899999,69.5899999,2,22.94093995,9.097994416
2022,9,MF,Fall,4,332.28,604.68,2.5,48.58245801,24.91200486
2022,9,MF,Fall,6,2828.435,3718.835,9.5,68.17954867,46.98865052
2022,9,MF,Fall,9,4229.5975,5834.130833,6.833333333,60.83563002,43.5823558
2022,9,MF,Fall,15,3707.661944,4703.295278,10.8287037,72.61050042,57.54920675
2022,9,MF,Fall,18,1601.2125,2402.8125,5.333333333,56.32109955,39.14151415
2022,9,MF,Fall,21,1018.22,1494.62,4.166666667,43.76699376,24.75801577
2022,9,MF,Fall,24,440.98,689.38,2.666666667,14.34410576,5.856910887
2022,9,MF,Summer,4,221.52,403.12,2.5,40.96029165,21.00352733
2022,9,MF,Summer,6,1686.44,2208.84,9.333333333,55.40535664,34.7610899
2022,9,MF,Summer,9,2721.32,3715.72,6.916666667,58.28959458,39.81542156
2022,9,MF,Summer,15,2162.92,2821.32,10.5,65.54300602,46.87972175
2022,9,MF,Summer,18,1078.64,1576.24,5.5,53.315296,36.30556242
2022,9,MF,Summer,21,678.8133332,996.4133332,4.166666667,47.49343802,26.86598247
2022,9,MF,Summer,24,293.9866666,459.5866666,2.666666667,14.39442661,5.877457636
2022,9,SAT,Fall,4,61.9625,89.9625,2.233333333,22.73735451,11.74052774
2022,9,SAT,Fall,6,199.3444443,298.8444443,3.822222222,50.92225317,29.42338626
2022,9,SAT,Fall,9,866.1066665,1122.606667,6.311111111,64.87440795,49.2878572
2022,9,SAT,Fall,15,473.4494444,612.6994444,6.8,74.44760991,57.31248707
2022,9,SAT,Fall,18,267.2855555,391.7855555,4.644444444,62.13879711,39.54476882
2022,9,SAT,Fall,21,209.3541666,297.8541666,4.155555556,52.89410744,29.52960475
2022,9,SAT,Fall,24,93.6333332,146.1333332,2.644444444,26.73305877,11.12491289
2022,9,SAT,Summer,4,41.3083333,59.975,2.25,20.04478754,10.35020956
2022,9,SAT,Summer,6,132.9083332,199.2416666,3.833333333,45.20958583,26.12491607
2022,9,SAT,Summer,9,577.4333332,748.4333332,6.333333333,58.46119421,44.41768715
2022,9,SAT,Summer,15,315.6666666,408.4999999,6.833333333,64.75436905,49.85559957
2022,9,SAT,Summer,18,178.1999998,261.1999999,4.666666667,65.33960916,41.58399407
2022,9,SAT,Summer,21,139.5694443,198.5694443,4.166666667,59.96187507,33.47538233
2022,9,SAT,Summer,24,62.422222,97.4222221,2.666666667,25.5197166,10.61998277
2022,9,SUN,Fall,4,55.49,93.29,4,15.16439196,5.843556317
2022,9,SUN,Fall,6,212.56,297.76,3.5,51.33380387,28.86643743
2022,9,SUN,Fall,9,957.4758332,1220.575833,6.583333333,65.87447936,44.35528974
2022,9,SUN,Fall,15,506.0533332,627.8533332,6.666666667,67.51189136,47.45085786
2022,9,SUN,Fall,18,293.2075,428.8075,4.5,59.4849106,35.88769943
2022,9,SUN,Fall,21,216.44,327.14,3.833333333,49.82942173,26.05091797
2022,9,SUN,Fall,24,98.265,154.365,2.5,13.39636563,5.223785192
