Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2019,3,SAT,Fall,21:00-24:00,NORTH,SOUTH,302.25,306,4.311111111,76.21401097,58.93149471,21.24842593,0.303548942,32.08194444,0.458313492
2019,3,SAT,Fall,24:00-04:00,NORTH,SOUTH,67.5,73.75,2,58.62864823,43.21041667,12.375,0.176785714,38.61666667,0.551666667
2019,3,SAT,Summer,04:00-06:00,NORTH,SOUTH,33,38.33333333,1.75,49.68615495,27.55,17.08333333,0.244047619,16,0.228571429
2019,3,SAT,Summer,06:00-09:00,NORTH,SOUTH,194.3333333,202.3333333,4.833333333,91.3523264,60.62564103,29.8957672,0.427082389,23.04444444,0.329206349
2019,3,SAT,Summer,09:00-15:00,NORTH,SOUTH,758.3333333,763.6666667,7.25,99.54576693,86.68853582,39.82420635,0.568917234,31.89197291,0.455599613
2019,3,SAT,Summer,15:00-18:00,NORTH,SOUTH,408.6666667,409.5,7.5,95.33634994,86.52230235,32.71759259,0.46739418,38.97321429,0.556760204
2019,3,SAT,Summer,18:00-21:00,NORTH,SOUTH,281.6666667,285.8333333,5.833333333,98.95386745,79.68653846,33.56666667,0.47952381,37.0531746,0.529331066
2019,3,SAT,Summer,21:00-24:00,NORTH,SOUTH,201.5,204,4.333333333,94.81968674,73.1888448,26.69592593,0.38137037,42.91666667,0.613095238
2019,3,SAT,Summer,24:00-04:00,NORTH,SOUTH,45,49.16666667,2,76.38248848,56,24.46666667,0.34952381,38.64166667,0.55202381
2019,3,SUN,Fall,04:00-06:00,NORTH,SOUTH,58.8,68.4,1.75,31.80145008,17.36666667,11.04166667,0.157738095,6.611111111,0.094444444
2019,3,SUN,Fall,06:00-09:00,NORTH,SOUTH,231.3,233.7,3,63.70223404,46.1973251,21.70679012,0.310097002,14.12037037,0.201719577
2019,3,SUN,Fall,09:00-15:00,NORTH,SOUTH,1036.8,1051.2,5.666666667,94.6633181,79.71500037,32.68453704,0.466921958,27.82469136,0.397495591
2019,3,SUN,Fall,15:00-18:00,NORTH,SOUTH,540.3,543.9,5.666666667,94.05245834,83.13022119,29.79320988,0.425617284,38.70833333,0.55297619
2019,3,SUN,Fall,18:00-21:00,NORTH,SOUTH,398.7,402.6,4.333333333,65.09422117,55.47106481,18.48842593,0.26412037,29.53803059,0.421971866
2019,3,SUN,Fall,21:00-24:00,NORTH,SOUTH,297.3,301.8,3.666666667,48.11853812,36.00744048,15.46373457,0.220910494,19.28937359,0.27556248
2019,3,SUN,Fall,24:00-04:00,NORTH,SOUTH,69.6,75.6,2,24.11190215,15.25,5.861111111,0.083730159,10.375,0.148214286
2019,3,SUN,Summer,04:00-06:00,NORTH,SOUTH,39.2,45.6,1.75,34.37674289,18.74166667,11.36111111,0.162301587,12.375,0.176785714
2019,3,SUN,Summer,06:00-09:00,NORTH,SOUTH,154.2,155.8,3,71.96022313,52.13425926,27.73148148,0.396164021,17.22222222,0.246031746
2019,3,SUN,Summer,09:00-15:00,NORTH,SOUTH,691.2,700.8,5.666666667,106.3445711,89.51008848,37.88638468,0.541234067,31.93657407,0.456236772
2019,3,SUN,Summer,15:00-18:00,NORTH,SOUTH,359.4,362.6,5.666666667,114.0058862,100.4439815,35.48888889,0.506984127,42.74166667,0.610595238
2019,3,SUN,Summer,18:00-21:00,NORTH,SOUTH,265.8,268.4,4.333333333,91.14028764,77.65787037,29.49027778,0.421289683,40.82777778,0.583253968
2019,3,SUN,Summer,21:00-24:00,NORTH,SOUTH,198.2,201.2,3.666666667,74.54536467,56.12400794,20.52546296,0.293220899,33.23148148,0.47473545
2019,3,SUN,Summer,24:00-04:00,NORTH,SOUTH,46.4,50.4,2,29.0279299,18.5,5.583333333,0.079761905,15.10416667,0.21577381
2022,3,MF,Fall,04:00-06:00,NORTH,SOUTH,267.6,315.6,1.75,35.93078625,21.74980139,18.23989899,0.260569986,20.66527778,0.295218254
2022,3,MF,Fall,06:00-09:00,NORTH,SOUTH,1736.4,1774.8,4.833333333,70.4266309,59.05852723,38.26452972,0.546636139,21.29457819,0.30420826
2022,3,MF,Fall,09:00-15:00,NORTH,SOUTH,3718.8,3756,4.333333333,69.88688981,69.47823401,30.53379372,0.436197053,28.21978023,0.403139718
2022,3,MF,Fall,15:00-18:00,NORTH,SOUTH,2448,2466,5.666666667,81.81073087,81.79998701,29.75998007,0.425142572,45.35762087,0.647966012
2022,3,MF,Fall,18:00-21:00,NORTH,SOUTH,1662,1693.2,4.333333333,61.13069417,54.30301744,24.67216985,0.352459569,30.21454503,0.431636358
2022,3,MF,Fall,21:00-24:00,NORTH,SOUTH,1314,1326,3.833333333,43.04487269,34.28149583,17.40434377,0.248633482,23.99117827,0.342731118
2022,3,MF,Fall,24:00-04:00,NORTH,SOUTH,554.4,584.4,2.166666667,16.13197353,10.33524349,7.256518713,0.103664553,11.14069326,0.159152761
2022,3,MF,Summer,06:00-09:00,NORTH,SOUTH,1157.6,1183.2,4.833333333,62.59253431,52.17641127,33.01779101,0.471682729,21.12188131,0.301741162
2022,3,MF,Summer,09:00-15:00,NORTH,SOUTH,2479.2,2504,4.333333333,66.82617802,66.5030619,31.35808607,0.447972658,30.3864807,0.434092581
2022,3,MF,Summer,15:00-18:00,NORTH,SOUTH,1632.8,1644.8,5.666666667,77.58583958,77.61445381,28.96126323,0.413732332,45.71793801,0.6531134
2022,3,MF,Summer,18:00-21:00,NORTH,SOUTH,1108,1128.8,4.333333333,61.96021711,55.00421684,23.74517496,0.339216785,29.02171567,0.414595938
2022,3,MF,Summer,21:00-24:00,NORTH,SOUTH,876,884,3.833333333,45.21642316,36.09404577,17.93244048,0.256177721,25.90015407,0.370002201
2022,3,MF,Summer,24:00-04:00,NORTH,SOUTH,369.6,389.6,2.166666667,17.62199185,11.22615338,6.896527778,0.098521825,10.48974868,0.149853553
2022,3,SAT,Fall,06:00-09:00,NORTH,SOUTH,250.5,254.5,3.822222222,48.45046043,35.24660313,21.23198413,0.303314059,14.33317901,0.2047597
2022,3,SAT,Fall,09:00-15:00,NORTH,SOUTH,802.75,810.75,4.655555556,76.40312193,72.61943603,38.56088985,0.550869855,31.73393849,0.453341978
2022,3,SAT,Fall,15:00-18:00,NORTH,SOUTH,430.25,431.5,4.822222222,82.62325721,81.80783137,34.54666667,0.49352381,37.44126984,0.534875283
2022,3,SAT,Fall,18:00-21:00,NORTH,SOUTH,318.25,320.75,3.977777778,61.97378266,55.14776432,28.84583333,0.412083333,31.09944444,0.444277778
2022,3,SAT,Fall,21:00-24:00,NORTH,SOUTH,291.25,293.75,3.977777778,50.58633383,40.77281707,20.98925926,0.299846561,22.46904762,0.320986395
2022,3,SAT,Summer,06:00-09:00,NORTH,SOUTH,167,169.6666667,3.833333333,50.10765243,36.36760071,26.93055556,0.384722222,18.35694444,0.262242063
2022,3,SAT,Summer,09:00-15:00,NORTH,SOUTH,535.1666667,540.5,4.666666667,72.13218353,68.53344948,38.40666667,0.548666667,32.91329365,0.470189909
2022,3,SAT,Summer,15:00-18:00,NORTH,SOUTH,286.8333333,287.6666667,4.833333333,77.24277933,76.48061673,32.34083333,0.462011905,39.26666667,0.560952381
2022,3,SAT,Summer,18:00-21:00,NORTH,SOUTH,212.1666667,213.8333333,4,63.49999851,56.38301063,33.52063492,0.478866213,31.33511905,0.447644558
2022,3,SAT,Summer,21:00-24:00,NORTH,SOUTH,194.1666667,195.8333333,4,51.21025989,41.32042501,22.68055556,0.324007937,25.3452381,0.36207483
2022,3,SUN,Fall,04:00-06:00,NORTH,SOUTH,58.8,68.4,1.75,24.75998606,13.52088519,9.419444444,0.134563492,11.27777778,0.161111111
2022,3,SUN,Fall,06:00-09:00,NORTH,SOUTH,236.1,238.5,3,42.50591046,31.37758167,19.22398589,0.27462837,13.37962963,0.191137566
2022,3,SUN,Fall,09:00-15:00,NORTH,SOUTH,797.7,804.9,4.083333333,72.73976792,66.37230125,31.4349537,0.449070767,26.22199074,0.374599868
2022,3,SUN,Fall,15:00-18:00,NORTH,SOUTH,399.6,401.1,4,84.5932225,78.25460673,35.8287037,0.511838624,44.27731481,0.632533069
2022,3,SUN,Fall,18:00-21:00,NORTH,SOUTH,365.7,365.7,3.833333333,53.27932868,47.07796522,24.34830247,0.347832892,25.56435185,0.365205026
2022,3,SUN,Fall,21:00-24:00,NORTH,SOUTH,309.9,314.4,3.666666667,35.39202597,27.53161477,14.36801146,0.205257307,20.87314815,0.298187831
2022,3,SUN,Summer,09:00-15:00,NORTH,SOUTH,531.8,536.6,4.083333333,72.60741536,66.26964921,37.78680556,0.539811508,37.51289683,0.535898526
2022,3,SUN,Summer,15:00-18:00,NORTH,SOUTH,266.4,267.4,4,80.64863184,74.62785139,44.95277778,0.64218254,55.17361111,0.788194444
2022,3,SUN,Summer,18:00-21:00,NORTH,SOUTH,243.8,243.8,3.833333333,54.61161695,48.25937219,27.28935185,0.389847884,27.89027778,0.39843254
2022,3,SUN,Summer,21:00-24:00,NORTH,SOUTH,206.6,209.6,3.666666667,41.64350688,32.51329127,17.38194444,0.248313492,23.71944444,0.338849206
2019,4,MF,Fall,04:00-06:00,EAST,WEST,248.4,369.6,3,28.8311342,16.57790216,6.582682981,0.140057085,16.38646076,0.348648101
2019,4,MF,Fall,06:00-09:00,EAST,WEST,2007.6,2007.6,4.166666667,61.38412994,70.41851653,35.94559698,0.764799936,32.96631957,0.701411055
2019,4,MF,Fall,09:00-15:00,EAST,WEST,4448.4,4491.6,4.166666667,59.80600905,73.90260165,28.65539899,0.60968934,25.48187269,0.542167504
2019,4,MF,Fall,15:00-18:00,EAST,WEST,2993,3036.2,5.166666667,76.03249254,102.0005406,44.7263813,0.951625134,36.86080763,0.784272503
2019,4,MF,Fall,18:00-21:00,EAST,WEST,1528.1,1952.9,3,62.87307677,73.30466913,38.73150699,0.824074617,28.89987218,0.614890897
2019,4,MF,Fall,21:00-24:00,EAST,WEST,1025.5,1063.9,3,50.85381471,40.55782214,23.20230379,0.493666038,25.70075295,0.546824531
2019,4,MF,Fall,24:00-04:00,EAST,WEST,56.4,154.8,1,25.272923,19.79712302,NULL,NULL,13.49768519,0.287184791
2019,4,MF,Summer,04:00-06:00,EAST,WEST,165.6,246.4,3,25.22758642,14.50586219,4.972172619,0.105790907,16.54545455,0.352030948
2019,4,MF,Summer,06:00-09:00,EAST,WEST,1338.4,1338.4,4.166666667,53.33596526,61.34790599,34.95310307,0.743683044,28.82816709,0.613365257
2019,4,MF,Summer,09:00-15:00,EAST,WEST,2965.6,2994.4,4.166666667,57.55634917,71.04767481,30.57541959,0.650540842,24.7544375,0.52669016
2019,4,MF,Summer,15:00-18:00,EAST,WEST,1993.6,2022.4,5.166666667,72.2953438,96.76367342,40.43863884,0.860396571,37.94965248,0.807439414
2019,4,MF,Summer,18:00-21:00,EAST,WEST,1018.733333,1301.933333,3,66.89238085,77.76843464,31.16162718,0.663013344,37.51162668,0.798119717
2019,4,MF,Summer,21:00-24:00,EAST,WEST,683.6666667,709.2666667,3,57.75781729,46.08837591,24.09786773,0.51272059,33.2395172,0.70722377
