CalendarYear,Lineno_renamed,AnnualBoardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Average_Peak_Passenger_Load,Average_Peak_Load_Factor,Average_Capacity_Utilization,Revenue_Hrs_w_Overcrowding,Perc_Trips_w_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2025,342,1534525.737,4911.533845,3064.399635,2417.177881,34183.55,43851.58333,44.89076579,33.02043162,66.04086325,35.13615444,9.250382216,8.616899675,80.4691083,0.999774743,24.26639375
2025,345,1096915.221,4409.807215,NULL,3283.031738,23689.85,32242.38333,46.30317292,34.55293153,69.10586307,37.08592782,11.23499489,10.83322364,82.13198575,1.225735607,22.56901948
2025,350,200193.2498,570.9832852,540.3711301,469.0784044,11124.75,18474.95,17.99530325,6.864133928,13.72826786,8.01395972,0,0,94.22326537,0.069279837,29.88571854
2025,351,1615271.078,4809.96407,3871.614507,3401.169753,46435.58889,59951.36667,34.78519636,30.67957908,36.09362245,30.25828499,0.544292197,0.489805914,75.455657,1.196076977,47.23826025
2025,352,124051.0388,499.0696706,NULL,281.7605286,5092.6,9325.816667,24.35907765,23.0693173,46.1386346,36.73020257,0.415828303,0.448143406,85.21631172,1.097299817,47.31294526
2025,354,129160.8666,519.6233202,NULL,294.2832031,4994.166667,8041.316667,25.86234606,31.67214778,63.34429556,48.57700078,1.800377243,1.822700911,81.41635748,1.687237489,38.87280369
2025,360,67764.16375,234.4780504,92.41506709,73.96959633,6837.633333,8786.366667,9.910470546,4.756624709,19.5712431,8.224060025,0.191818594,0.169815326,74.77950713,0.067109823,29.23126094
2025,361,99663.31165,336.2474328,151.3707139,129.2718643,7251.5,9219.383333,13.74382013,5.870655558,24.46106482,10.51799014,0.123081379,0.121531294,81.95266272,0.076325685,26.94459676
2025,362,90543.98728,196.5313779,366.0597294,350.2938404,3846.966667,5415.733333,23.53646265,3.750715862,15.62798276,9.865423787,0.054223016,0.052210233,79.52213123,0.179261526,19.51353616
2025,363,235543.102,665.781613,638.1543849,573.0035997,12338.31667,18812.45,19.09037581,6.238957099,25.99565458,13.41817573,0.152671756,0.136649358,81.23474595,0.048781403,24.86650523
2025,364,1797948.22,5496.720782,4114.239277,3397.246513,35406.3,44632.86667,50.78046053,32.97542703,65.95085406,41.32228709,6.984929905,6.446215924,78.5084464,0.907632136,21.83623801
2025,370,106256.6033,357.6222803,154.3763765,146.7493257,6575.383333,7490.816667,16.15975798,6.579357336,27.4139889,13.26993333,0.026509495,0.025163563,NULL,NULL,22.85730371
2025,371,290949.1145,922.0876832,630.5458491,453.5843839,8576.366667,14133.9,33.92451907,9.916459976,40.94984175,22.92482125,0.598001518,0.589123867,86.64477021,0.363093678,20.61036097
2025,372,183125.5331,581.6659769,351.8378058,316.5662298,10350.66667,15180.36667,17.69214863,7.221837346,30.09098894,14.45774007,0.111537082,0.109855618,NULL,NULL,23.37243048
2025,373,959184.8856,2981.953074,2066.1521,1726.470987,26374.86333,36879.58,36.3673879,12.33765484,50.55095138,23.27107554,2.134897846,2.109979045,78.82482477,1.501149521,22.03749516
2025,375,923117.0671,2292.78641,3279.700914,2830.178307,23854.4,28892.7,38.69797887,29.48295453,58.96590906,31.32085261,3.720263325,3.537949803,81.3014308,0.17005174,21.61520851
2025,388,457003.7653,1837.463589,NULL,1312.795288,14046.01028,18110.39361,32.53619756,24.25489294,48.50978587,25.72568775,1.243362061,1.260192735,72.65757679,1.288048745,26.19149527
2025,391,87537.64604,351.9476533,NULL,254.6280212,1492.383333,2536.85,58.65627422,30.12256966,60.24513932,36.78072135,2.916650042,3.201024328,87.9969419,0.096706961,19.69118484
2025,393,111436.5333,447.8765134,NULL,363.1579895,1960.483333,2720.2,56.84135714,30.97396628,61.94793255,31.06880665,8.243422801,8.920187793,78.55670103,0.224050586,18.39572713
2025,394,193656.3628,778.2887844,NULL,640.7442627,6148.866667,9166.983333,31.49464337,21.94668446,43.89336893,25.40704105,0.545391917,0.631374454,85.44641569,0.232797358,25.22408138
2025,395,145897.4772,586.9497684,NULL,333.9346538,4338.766667,7576.416667,33.62648615,27.06819375,54.1363875,29.66211325,5.03424215,5.211267606,81.86202558,2.155839755,24.18116011
2025,401,1225311.257,3784.442793,2727.985558,2229.449151,20294.65,29376.15,60.37607234,23.09271915,46.1854383,24.51528544,2.684260628,2.373676356,80.59205886,0.299835866,22.88045234
2025,402,874963.7091,2805.490334,1635.715656,1448.382957,14925.08333,21537.55,58.62370679,21.9498809,43.89976179,21.63347767,0.625270191,0.60541995,91.55874057,0.461362611,22.7469763
2025,403,1575994.326,4585.383954,4069.714139,3495.291846,30648.59278,38880.92611,51.42142536,24.89667649,49.79335298,22.26928734,1.664688036,1.459583611,83.54717975,0.699299536,20.60514664
2025,404,469891.5804,1452.759421,1008.224916,879.6853595,10761.61667,18343.03333,43.66366085,16.1080045,32.21600899,15.36689318,1.124530774,1.040195197,88.26648989,0.404154801,23.54723277
2025,405,609307.9128,1947.454239,1175.457626,1003.314845,19355.54278,23393.12611,31.4797637,14.42142218,28.84284435,16.13571803,0.021901703,0.014692918,71.4724716,0.448777348,24.40993108
2025,406,1367341.684,4075.581913,3195.512184,2929.703636,25208.66667,36468.13333,54.24093636,21.12585437,42.25170873,20.08445114,1.13396022,0.941477306,92.57191023,0.787982057,24.88588414
2025,407,868481.1193,2823.560519,1521.211236,1371.309635,26022.52389,33298.02389,33.37420778,15.85390651,31.70781301,15.06333418,0.124076933,0.088593577,81.0252791,0.709296212,22.74232233
2025,408,1190173.329,3786.542322,2335.459945,1994.875639,19739.43333,27029.23333,60.2941994,21.89153075,43.7830615,21.07407891,1.493696791,1.417004049,85.06132859,1.638765594,22.50127121
2025,410,3272754.883,10022.70361,7425.232065,6169.420294,59932.9,72722.58333,54.60698352,31.21152721,62.42305441,40.32838995,7.47251568,6.546080965,83.95821942,3.903244411,25.89164918
2025,412,114913.899,446.1944679,76.83921036,131.0159912,4952.183333,8511.45,23.20469402,7.179683095,17.70982861,8.636476049,0.177705033,0.139324277,90.6631329,0.215095132,27.89251017
2025,413,124559.3331,395.3072131,268.186191,193.4994209,6582.907778,9631.257778,18.92162815,6.628185313,26.72862086,13.3986179,0.079645595,0.075395828,76.77314564,0.273103825,26.42854518
2025,414,63483.37556,222.0530445,156.2296314,145.1398392,3636.085556,6523.518889,17.45926343,4.491579949,18.71491645,11.25500331,0,0,78.86466748,0.08953049,16.38942178
2025,416,70160.01407,282.0869513,NULL,202.4501495,3573.016667,4783.9,19.63607243,8.218349411,34.24312255,16.8542301,0.547465584,0.503018109,70.26236125,0.070160741,21.08108717
