Route,Subregion,DayType,AvgDailyBoardings,Note
280,North Shore,Sun/Hol,,Route excluded due to poor data quality
281,North Shore,Sat,,Route excluded due to poor data quality
281,North Shore,Mon-Fri,,Route excluded due to poor data quality
281,North Shore,Sun/Hol,,Route excluded due to poor data quality
282,North Shore,Sat,,Route excluded due to poor data quality
282,North Shore,Sun/Hol,,Route excluded due to poor data quality
301,Southwest,Sat,1500,
301,Southwest,Mon-Fri,2600,
301,Southwest,Sun/Hol,1400,
310,Southeast,Sat,500,
310,Southeast,Mon-Fri,600,
310,Southeast,Sun/Hol,500,
311,Southeast,Mon-Fri,300,
312,Southeast,Sat,1000,
312,Southeast,Mon-Fri,1400,
312,Southeast,Sun/Hol,900,
314,Southeast,Sat,700,
314,Southeast,Mon-Fri,1000,
314,Southeast,Sun/Hol,400,
316,Southeast,Sat,1300,
316,Southeast,Mon-Fri,1400,
316,Southeast,Sun/Hol,600,
319,Southeast,Sat,9700,
319,Southeast,Mon-Fri,11600,
319,Southeast,Sun/Hol,7800,
320,Southeast,Sat,2800,
320,Southeast,Mon-Fri,3500,
320,Southeast,Sun/Hol,2200,
321,Southeast,Sat,4400,
321,Southeast,Mon-Fri,5100,
321,Southeast,Sun/Hol,3700,
322,Southeast,Sat,700,
322,Southeast,Mon-Fri,1000,
322,Southeast,Sun/Hol,600,
323,Southeast,Sat,3700,
323,Southeast,Mon-Fri,4900,
323,Southeast,Sun/Hol,3200,
324,Southeast,Sat,1600,
324,Southeast,Mon-Fri,2200,
324,Southeast,Sun/Hol,1400,
325,Southeast,Sat,1400,
325,Southeast,Mon-Fri,1900,
325,Southeast,Sun/Hol,1300,
326,Southeast,Sat,400,
326,Southeast,Mon-Fri,800,
326,Southeast,Sun/Hol,400,
329,Southeast,Sat,300,
329,Southeast,Mon-Fri,300,
335,Southeast,Sat,3200,
335,Southeast,Mon-Fri,5000,
335,Southeast,Sun/Hol,2600,
337,Southeast,Sat,800,
337,Southeast,Mon-Fri,1200,
337,Southeast,Sun/Hol,600,
340,Southeast,Sat,1500,
340,Southeast,Mon-Fri,1900,
340,Southeast,Sun/Hol,1200,
341,Southeast,Sat,1200,
341,Southeast,Mon-Fri,1600,
341,Southeast,Sun/Hol,800,
342,Southeast,Sat,1400,
342,Southeast,Mon-Fri,2200,
342,Southeast,Sun/Hol,1100,
345,Southeast,Mon-Fri,1800,
350,Southeast,Sat,300,
350,Southeast,Mon-Fri,400,
350,Southeast,Sun/Hol,300,
351,Southeast,Sat,1700,
351,Southeast,Mon-Fri,2000,
351,Southeast,Sun/Hol,1300,
352,Southeast,Mon-Fri,200,
354,Southeast,Mon-Fri,200,
360,Southeast,Sat,,<100 average daily boardings
360,Southeast,Mon-Fri,200,
360,Southeast,Sun/Hol,,<100 average daily boardings
361,Southeast,Sat,,<100 average daily boardings
361,Southeast,Mon-Fri,200,
361,Southeast,Sun/Hol,,<100 average daily boardings
362,Southeast,Sat,100,
362,Southeast,Mon-Fri,,<100 average daily boardings
362,Southeast,Sun/Hol,100,
363,Southeast,Sat,400,
363,Southeast,Mon-Fri,400,
363,Southeast,Sun/Hol,300,
364,Southeast,Sat,1700,
364,Southeast,Mon-Fri,2300,
364,Southeast,Sun/Hol,1400,
370,Southeast,Sat,,Route excluded due to poor data quality
370,Southeast,Mon-Fri,,Route excluded due to poor data quality
370,Southeast,Sun/Hol,,Route excluded due to poor data quality
371,Southeast,Sat,200,
371,Southeast,Mon-Fri,400,
371,Southeast,Sun/Hol,100,
372,Southeast,Sat,,Route excluded due to poor data quality
372,Southeast,Mon-Fri,,Route excluded due to poor data quality
