Route,Subregion,DayType,AvgDailyBoardings,Notes
337,Southeast,Sun/Hol,800,
340,Southeast,Mon-Fri,2400,
340,Southeast,Sat,1500,
340,Southeast,Sun/Hol,1300,
341,Southeast,Mon-Fri,1700,
341,Southeast,Sat,1200,
341,Southeast,Sun/Hol,1100,
342,Southeast,Mon-Fri,2800,
342,Southeast,Sat,1700,
342,Southeast,Sun/Hol,1300,
345,Southeast,Mon-Fri,2400,
350,Southeast,Mon-Fri,400,
350,Southeast,Sat,300,
350,Southeast,Sun/Hol,300,
351,Southeast,Mon-Fri,2500,
351,Southeast,Sat,2000,
351,Southeast,Sun/Hol,1700,
352,Southeast,Mon-Fri,300,
354,Southeast,Mon-Fri,300,
360,Southeast,Mon-Fri,200,
360,Southeast,Sat,100,
360,Southeast,Sun/Hol,<100 average daily boardings,
361,Southeast,Mon-Fri,200,
361,Southeast,Sat,100,
361,Southeast,Sun/Hol,100,
362,Southeast,Mon-Fri,100,
362,Southeast,Sat,100,
362,Southeast,Sun/Hol,100,
363,Southeast,Mon-Fri,300,
363,Southeast,Sat,300,
363,Southeast,Sun/Hol,300,
364,Southeast,Mon-Fri,3000,
364,Southeast,Sat,2300,
364,Southeast,Sun/Hol,1700,
370,Southeast,Mon-Fri,,Route excluded due to poor data quality
370,Southeast,Sat,,Route excluded due to poor data quality
370,Southeast,Sun/Hol,,Route excluded due to poor data quality
371,Southeast,Mon-Fri,400,
371,Southeast,Sat,200,
371,Southeast,Sun/Hol,200,
372,Southeast,Mon-Fri,,Route excluded due to poor data quality
372,Southeast,Sat,,Route excluded due to poor data quality
372,Southeast,Sun/Hol,,Route excluded due to poor data quality
373,Southeast,Mon-Fri,1000,
373,Southeast,Sat,700,
373,Southeast,Sun/Hol,600,
375,Southeast,Mon-Fri,1500,
375,Southeast,Sat,2000,
375,Southeast,Sun/Hol,1600,
388,Southeast,Mon-Fri,1100,
391,Southeast,Mon-Fri,200,
393,Southeast,Mon-Fri,300,
394,Southeast,Mon-Fri,600,
395,Southeast,Mon-Fri,300,
401,Southwest,Mon-Fri,2700,
401,Southwest,Sat,1800,
401,Southwest,Sun/Hol,1400,
402,Southwest,Mon-Fri,1700,
402,Southwest,Sat,1000,
402,Southwest,Sun/Hol,800,
403,Southwest,Mon-Fri,3400,
403,Southwest,Sat,2900,
403,Southwest,Sun/Hol,2300,
404,Southwest,Mon-Fri,800,
404,Southwest,Sat,600,
404,Southwest,Sun/Hol,500,
405,Southwest,Mon-Fri,1400,
405,Southwest,Sat,800,
405,Southwest,Sun/Hol,800,
406,Southwest,Mon-Fri,2900,
406,Southwest,Sat,2100,
406,Southwest,Sun/Hol,1800,
407,Southwest,Mon-Fri,2600,
407,Southwest,Sat,1200,
407,Southwest,Sun/Hol,1100,
408,Southwest,Mon-Fri,2800,
408,Southwest,Sat,1600,
408,Southwest,Sun/Hol,1200,
410,Southwest,Mon-Fri,7800,
410,Southwest,Sat,5300,
410,Southwest,Sun/Hol,4400,
